i,x,y,ylinear,yquadratic,ycubic,ypower,yexponential,ylogarithmic,yhyperbolic,yeexponential
,0.6,,13.809637748000064,15.312829536000354,15.890509203204724,14.078707731835317,23.304092789836478,-11.070773894031822,-48.82288127729667,23.30409278983648
1,1,23.4801465,22.56282660000006,23.362396700000318,23.484786460006944,23.042233730936744,27.130412672856046,15.856301787806013,14.621555161985242,27.130412672856046
2,2,43.819794,44.445798730000064,44.046013680000215,43.80123416000788,44.96272543273291,39.67499648568198,52.394066773025976,62.204882491446675,39.67499648568197
3,3,65.501361,66.32877086000006,65.5292007600001,65.52920076000191,66.47887337996332,58.01995587460297,73.76728914954214,78.06599160126716,58.019955874602985
4,4,88.0752973,88.21174299000006,87.81195793999996,88.05673745998865,87.73657545297108,84.84727354432712,88.93183175824595,85.99654615617739,84.84727354432714
5,5,110.7672555,110.09471512000006,110.8942852199998,110.77189545996771,108.80414365919742,124.0790296956622,100.69436483137999,90.75487888912353,124.07902969566223
,5.4,,118.84790397200007,120.35109575999975,119.77341609275709,117.18740563320493,144.45167679554615,104.75120082944045,92.1647552544409,144.45167679554612
